tabelcode;datapunt
S.05.01.02.01;R0200C0160
S.05.01.02.01;R0230C0160
S.05.01.02.01;R0240C0160
S.05.01.02.01;R0300C0160
S.05.01.02.01;R0330C0160
S.05.01.02.01;R0340C0160
S.05.01.02.01;R0400C0160
S.05.01.02.01;R0430C0160
S.05.01.02.01;R0440C0160
S.05.01.02.01;R0500C0160
S.05.01.02.01;R0550C0160
S.05.01.02.01;R0110C0200
S.05.01.02.01;R0120C0200
S.05.01.02.01;R0130C0200
S.05.01.02.01;R0140C0200
S.05.01.02.01;R0200C0200
S.05.01.02.01;R0210C0200
S.05.01.02.01;R0220C0200
S.05.01.02.01;R0230C0200
S.05.01.02.01;R0240C0200
S.05.01.02.01;R0300C0200
S.05.01.02.01;R0310C0200
S.05.01.02.01;R0320C0200
S.05.01.02.01;R0330C0200
S.05.01.02.01;R0340C0200
S.05.01.02.01;R0400C0200
S.05.01.02.01;R0410C0200
S.05.01.02.01;R0420C0200
S.05.01.02.01;R0430C0200
S.05.01.02.01;R0440C0200
S.05.01.02.01;R0500C0200
S.05.01.02.01;R0550C0200
S.05.01.02.01;R1200C0200
S.05.01.02.01;R1300C0200
S.05.01.02.02;R1410C0210
S.05.01.02.02;R1420C0210
S.05.01.02.02;R1500C0210
S.05.01.02.02;R1510C0210
S.05.01.02.02;R1520C0210
S.05.01.02.02;R1600C0210
S.05.01.02.02;R1610C0210
S.05.01.02.02;R1620C0210
S.05.01.02.02;R1700C0210
S.05.01.02.02;R1710C0210
S.05.01.02.02;R1720C0210
S.05.01.02.02;R1800C0210
S.05.01.02.02;R1900C0210
S.05.01.02.02;R1410C0220
S.05.01.02.02;R1420C0220
S.05.01.02.02;R1500C0220
S.05.01.02.02;R1510C0220
S.05.01.02.02;R1520C0220
S.05.01.02.02;R1600C0220
S.05.01.02.02;R1610C0220
S.05.01.02.02;R1620C0220
S.05.01.02.02;R1700C0220
S.05.01.02.02;R1710C0220
S.05.01.02.02;R1720C0220
S.05.01.02.02;R1800C0220
S.05.01.02.02;R1900C0220
S.05.01.02.02;R1410C0230
S.05.01.02.02;R1420C0230
S.05.01.02.02;R1500C0230
